name;setting;category;short_desc;extra_desc;context;vartype;source;min_val;max_val
"add_missing_from";"off";"Version and Platform Compatibility / Previous PostgreSQL Versions";"Automatically adds missing table references to FROM clauses.";"";"user";"bool";"default";"";""
"allow_system_table_mods";"off";"Developer Options";"Allows modifications of the structure of system tables.";"";"postmaster";"bool";"default";"";""
"archive_command";"";"Write-Ahead Log / Settings";"WAL archiving command.";"The shell command that will be called to archive a WAL file.";"sighup";"string";"default";"";""
"archive_timeout";"0";"Write-Ahead Log / Settings";"Forces a switch to the next xlog file if a new file has not been started within N seconds.";"";"sighup";"integer";"default";"0";"2147483647"
"array_nulls";"on";"Version and Platform Compatibility / Previous PostgreSQL Versions";"Enable input of NULL elements in arrays.";"When turned on, unquoted NULL in an array input value means a null value; otherwise it is taken literally.";"user";"bool";"default";"";""
"authentication_timeout";"60";"Connections and Authentication / Security and Authentication";"Sets the maximum time in seconds to complete client authentication.";"";"sighup";"integer";"default";"1";"600"
"autovacuum";"on";"Autovacuum";"Starts the autovacuum subprocess.";"";"sighup";"bool";"configuration file";"";""
"autovacuum_analyze_scale_factor";"0.1";"Autovacuum";"Number of tuple inserts, updates or deletes prior to analyze as a fraction of reltuples.";"";"sighup";"real";"default";"0";"100"
"autovacuum_analyze_threshold";"250";"Autovacuum";"Minimum number of tuple inserts, updates or deletes prior to analyze.";"";"sighup";"integer";"default";"0";"2147483647"
"autovacuum_freeze_max_age";"200000000";"Autovacuum";"Age at which to autovacuum a table to prevent transaction ID wraparound.";"";"postmaster";"integer";"default";"100000000";"2000000000"
"autovacuum_naptime";"60";"Autovacuum";"Time to sleep between autovacuum runs, in seconds.";"";"sighup";"integer";"default";"1";"2147483647"
"autovacuum_vacuum_cost_delay";"-1";"Autovacuum";"Vacuum cost delay in milliseconds, for autovacuum.";"";"sighup";"integer";"default";"-1";"1000"
"autovacuum_vacuum_cost_limit";"-1";"Autovacuum";"Vacuum cost amount available before napping, for autovacuum.";"";"sighup";"integer";"default";"-1";"10000"
"autovacuum_vacuum_scale_factor";"0.2";"Autovacuum";"Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.";"";"sighup";"real";"default";"0";"100"
"autovacuum_vacuum_threshold";"500";"Autovacuum";"Minimum number of tuple updates or deletes prior to vacuum.";"";"sighup";"integer";"default";"0";"2147483647"
"backslash_quote";"safe_encoding";"Version and Platform Compatibility / Previous PostgreSQL Versions";"Sets whether ""\'"" is allowed in string literals.";"Valid values are ON, OFF, and SAFE_ENCODING.";"user";"string";"default";"";""
"bgwriter_all_maxpages";"5";"Resource Usage";"Background writer maximum number of all pages to flush per round";"";"sighup";"integer";"default";"0";"1000"
"bgwriter_all_percent";"0.333";"Resource Usage";"Background writer percentage of all buffers to flush per round";"";"sighup";"real";"default";"0";"100"
"bgwriter_delay";"200";"Resource Usage";"Background writer sleep time between rounds in milliseconds";"";"sighup";"integer";"default";"10";"10000"
"bgwriter_lru_maxpages";"5";"Resource Usage";"Background writer maximum number of LRU pages to flush per round";"";"sighup";"integer";"default";"0";"1000"
"bgwriter_lru_percent";"1";"Resource Usage";"Background writer percentage of LRU buffers to flush per round";"";"sighup";"real";"default";"0";"100"
"block_size";"8192";"Preset Options";"Shows size of a disk block";"";"internal";"integer";"default";"8192";"8192"
"bonjour_name";"";"Connections and Authentication / Connection Settings";"Sets the Bonjour broadcast service name.";"";"postmaster";"string";"default";"";""
"check_function_bodies";"on";"Client Connection Defaults / Statement Behavior";"Check function bodies during CREATE FUNCTION.";"";"user";"bool";"default";"";""
"checkpoint_segments";"3";"Write-Ahead Log / Checkpoints";"Sets the maximum distance in log segments between automatic WAL checkpoints.";"";"sighup";"integer";"default";"1";"2147483647"
"checkpoint_timeout";"300";"Write-Ahead Log / Checkpoints";"Sets the maximum time in seconds between automatic WAL checkpoints.";"";"sighup";"integer";"default";"30";"3600"
"checkpoint_warning";"30";"Write-Ahead Log / Checkpoints";"Logs if filling of checkpoint segments happens more frequently than this (in seconds).";"Write a message to the server log if checkpoints caused by the filling of checkpoint segment files happens more frequently than this number of seconds. Zero turns off the warning.";"sighup";"integer";"default";"0";"2147483647"
